"TID","RID","t_occupiedE","r_occupiedE","t_occupiedM","r_occupiedM","t_occupiedCV","r_occupiedCV"
"g37119003015",0,0.9513150531617236,0.9574468085106383,0.03551568127930962,0.018904822395663327,0.02269498388919231,0.012003061838516398
"g37119003016",0,0.9643947100712106,0.9574468085106383,0.03438786997988071,0.018904822395663327,0.021676270112874162,0.012003061838516398
"g37119005811",0,0.9558563861094762,0.9574468085106383,0.02652955712543451,0.018904822395663327,0.016872189780987777,0.012003061838516398
"g37097061003",1,0.917519566526189,0.8528354807608028,0.05708335660081297,0.03012964751937107,0.03782058704654618,0.021476469450138827
"g37097061001",1,0.8818181818181818,0.8528354807608028,0.07883763768069531,0.03012964751937107,0.054348636260310744,0.021476469450138827
"g37097060100",1,0.8290566037735849,0.8528354807608028,0.059574635047975825,0.03012964751937107,0.0436828841974718,0.021476469450138827
"g37097060601",1,0.845442536327609,0.8528354807608028,0.061421034779358785,0.03012964751937107,0.04416387094222511,0.021476469450138827
"g37097061301",1,0.8303130148270181,0.8528354807608028,0.14011403299690098,0.03012964751937107,0.10258264344709664,0.021476469450138827
"g37097060603",1,0.8928571428571429,0.8528354807608028,0.09769685714628272,0.03012964751937107,0.06651700912087334,0.021476469450138827
"g37097060701",1,0.7902834008097166,0.8528354807608028,0.09967672934863496,0.03012964751937107,0.07667345205638308,0.021476469450138827
"g37119001000",2,0.9616639477977161,0.87241186345831,0.048542950008047,0.027133233283031934,0.030685763118951263,0.018906628197398016
"g37119001100",2,0.9167556029882604,0.87241186345831,0.03938258884935718,0.027133233283031934,0.026114684673878705,0.018906628197398016
"g37119002500",2,0.8775510204081632,0.87241186345831,0.06480163954206915,0.027133233283031934,0.044889804729785654,0.018906628197398016
"g37119000900",2,0.8633004926108374,0.87241186345831,0.07837780678438097,0.027133233283031934,0.05519061272339329,0.018906628197398016
"g37119001400",2,0.773936170212766,0.87241186345831,0.06394127967367291,0.027133233283031934,0.050223881923356244,0.018906628197398016
"g37025042300",3,0.8834383438343835,0.8251913962814437,0.05229250833155735,0.03945086478970858,0.03598299653396976,0.029062698343722368
"g37025041902",3,0.7796234772978959,0.8251913962814437,0.07720940674559498,0.03945086478970858,0.06020317619790711,0.029062698343722368
"g37025042101",3,0.7928669410150891,0.8251913962814437,0.08285844799390575,0.03945086478970858,0.06352878975563708,0.029062698343722368
"g37179020404",4,0.8576682603898492,0.9143821603927987,0.06628434619109932,0.02604113050591131,0.046981376407951504,0.01731275516669986
