"TID","RID","t_chabvpovE","r_chabvpovE","t_chabvpovM","r_chabvpovM","t_chabvpovCV","r_chabvpovCV","min"
"g37109070100",0,0.4682804674457429,0.7481802426343154,0.15541070809783958,0.03536880953597482,0.20174788648279157,0.028737455021263177,0.31286975934790334
"g37071030802",1,0.5423406279733587,0.7066874027993779,0.16370878313537784,0.031732743452658134,0.18349909995764102,0.027296965356044752,0.37863184483798085
"g45091060402",4,0.40344168260038243,0.6585078148038926,0.11631946994264243,0.052547651492549814,0.17526925706219332,0.048509463929762166,0.28712221265774
"g37025040701",6,0.75,0.7485590778097982,0.4213536319407709,0.05668871541643778,0.3415227006612125,0.04603674739740728,0.3286463680592291
"g37119003903",9,0.18484848484848485,0.5029013539651838,0.12294796744977103,0.0848783852543394,0.4043333425524385,0.10260024591183883,0.061900517398713814
"g37071031102",10,0.5301418439716312,0.6805691854759568,0.25724107990813794,0.07666583174367578,0.29497304910632155,0.06847998680479013,0.2729007640634933
"g37071031202",10,0.4830188679245283,0.6805691854759568,0.21217734091826418,0.07666583174367578,0.267035502200513,0.06847998680479013,0.2708415270062641
"g45023020100",11,0.5465288035450517,0.6293892790470264,0.14676747529007791,0.0315410643279069,0.1632491263803216,0.03046429280859862,0.3997613282549738
"g45023020200",11,0.3351409978308026,0.6293892790470264,0.05809159914571506,0.0315410643279069,0.10537070147322825,0.03046429280859862,0.27704939868508754
"g37119005604",13,0.6,0.7804511278195488,0.26415891201291647,0.0863185931764925,0.2676382087263592,0.06723458657620454,0.3358410879870835
"g37071032100",14,0.6368159203980099,0.6872536136662286,0.24462149563031213,0.07004723728369934,0.2335150105513523,0.06195952457228312,0.39219442476769784
"g37119005915",15,1.0,0.8373587242607214,1.2804366037702346,0.034557000838338445,0.7783809141460393,0.025087569680487514,-0.2804366037702346
"g45091061602",16,0.5343980343980343,0.7350112359550561,0.15440876225416136,0.03759461241529185,0.17564718230078938,0.03109322226886086,0.379989272143873
"g37119001507",18,0.3476923076923077,0.5125664354562652,0.19134636324899398,0.04541457843866675,0.3345486083111765,0.05386159638545089,0.1563459444433137
"g37119001702",18,0.49945054945054945,0.5125664354562652,0.11644001915162391,0.04541457843866675,0.1417241531700593,0.05386159638545089,0.3830105302989255
"g37119001607",18,0.5220994475138122,0.5125664354562652,0.1721862965230955,0.04541457843866675,0.2004838755933824,0.05386159638545089,0.34991315099071674
"g37119001605",18,0.333984375,0.5125664354562652,0.19504675634398339,0.04541457843866675,0.3550149815962583,0.05386159638545089,0.13893761865601661
"g37119001608",18,0.37710843373493974,0.5125664354562652,0.11289090305184352,0.04541457843866675,0.1819813153093023,0.05386159638545089,0.2642175306830962
"g37119001300",18,0.39198218262806234,0.5125664354562652,0.07050287223831492,0.04541457843866675,0.1093388699744522,0.05386159638545089,0.3214793103897474
"g37025041000",20,0.4502251125562781,0.6105780214758967,0.12192058730077132,0.04520898513229063,0.16461955691607016,0.045010899127164515,0.3283045252555068
"g37025040703",20,0.4915572232645403,0.6105780214758967,0.1313405837326707,0.04520898513229063,0.16242727471522192,0.045010899127164515,0.3602166395318696
"g37025041901",20,0.4968051118210863,0.6105780214758967,0.14382501074953705,0.04520898513229063,0.17598775736512318,0.045010899127164515,0.3529801010715492
"g37119006209",21,0.7653374233128835,0.8513829640842163,0.4357952471071093,0.09646438943073352,0.346149443097545,0.06887730750211522,0.32954217620577414
"g37159050400",24,0.34918032786885245,0.5879218472468917,0.09611468051457456,0.057612905967311716,0.16733009436445762,0.05957091627948189,0.2530656473542779
"g37025042602",25,0.5053030303030303,0.8356616713233427,0.11453122005486871,0.043129489762050346,0.13778631396073396,0.03137458101702538,0.39077181024816154
"g37159051600",27,0.5643115942028986,0.8405474220241884,0.19091365509149835,0.021189317269825945,0.2056610822434969,0.015324589184992127,0.3733979391114002
"g37119004200",28,0.2961210974456008,0.4280710532899675,0.13068317006551666,0.07807653813054043,0.26827759744263496,0.11087631538738968,0.16543792738008412
"g37119004500",28,0.29692832764505117,0.4280710532899675,0.13168852180181445,0.07807653813054043,0.2696065184497197,0.11087631538738968,0.16523980584323672
"g37119004800",28,0.5435816164817749,0.4280710532899675,0.18058776446846933,0.07807653813054043,0.20195641776849035,0.11087631538738968,0.3629938520133056
"g37119004100",28,0.510593220338983,0.4280710532899675,0.29007511570757594,0.07807653813054043,0.3453580058115901,0.11087631538738968,0.22051810463140709
"g37119004700",28,0.4429530201342282,0.4280710532899675,0.37088567140227213,0.07807653813054043,0.5089984806018103,0.11087631538738968,0.07206734873195608
"g37119004900",28,0.3949579831932773,0.4280710532899675,0.23989290933347265,0.07807653813054043,0.3692330881547339,0.11087631538738968,0.15506507385980464
"g37119005306",30,0.48021108179419525,0.470821325648415,0.3260282272098561,0.06970944245681683,0.4127215274809962,0.09000561031440409,0.15418285458433917
"g37119005308",30,0.32821497120921306,0.470821325648415,0.11148785028241545,0.06970944245681683,0.20649201015708935,0.09000561031440409,0.2167271209267976
"g37119000700",30,0.11363636363636363,0.470821325648415,0.1780272224797553,0.06970944245681683,0.9523644728400285,0.09000561031440409,-0.06439085884339167
"g37119005100",32,0.30306603773584906,0.21148163782186577,0.07282392811308036,0.035903046153605574,0.1460733292488549,0.10320309695246782,0.2302421096227687
"g37119005000",32,0.38929440389294406,0.21148163782186577,0.11777006685310218,0.035903046153605574,0.18390386579264814,0.10320309695246782,0.2715243370398419
"g37119005200",32,0.07567567567567568,0.21148163782186577,0.040695199320418235,0.035903046153605574,0.32690455381143607,0.10320309695246782,0.034980476355257445
"g37097060100",34,0.4290060851926978,0.5645695364238411,0.13576582319751865,0.05653760731521169,0.19238052364821168,0.060877117753768833,0.29324026199517916
"g37097060200",34,0.22641509433962265,0.5645695364238411,0.1556539971389034,0.05653760731521169,0.41791600042360083,0.060877117753768833,0.07076109720071924
