"TID","RID","t_avghmvalE","r_avghmvalE","t_avghmvalM","r_avghmvalM","t_avghmvalCV","r_avghmvalCV"
"g37179020313",4,153779.67479674798,169713.50233728875,39688.34185559629,18489.834086142364,0.15689103007817862,0.06622938402815329
"g37119004305",46,109164.4908616188,129664.34724983433,39614.005280540834,15585.203780375194,0.22059794340219271,0.07306779553003334
"g37119001802",59,147533.90625,146346.79802955664,39242.60236139059,26833.26805957122,0.1616962902456418,0.11146138676840527
"g37119005845",7,260823.04199772986,248748.89682585403,39232.4125443205,15519.489053538315,0.09143935568625526,0.03792716257463497
"g37025041303",35,284603.10166570934,389924.5338799322,39199.470146349166,18053.556012007288,0.0837287611944177,0.028145974753427658
"g37071030102",43,157461.72106824926,178649.7228870135,39150.69787784611,11163.733362276254,0.1511466798257624,0.03798754311143287
"g37119005522",13,162752.23499361431,187488.57664233577,38999.472284934236,28980.252718739226,0.14566857338965702,0.09396399087618125
"g37179020202",11,226090.67357512953,213622.03894332136,38895.85152906418,9102.921853819611,0.10458146801303778,0.02590412077292777
"g37179020702",54,152523.87612387614,177658.99424568427,38802.70734834662,23698.67816255215,0.15465297987264529,0.08109069481899421
"g37097061303",85,211870.64516129033,166966.8234661649,38790.98603978769,9755.682237854939,0.11129973437705232,0.03551906777977631
"g37179020315",16,317489.51507208386,261622.5780448483,38642.744588307105,12832.051710119711,0.07398993991828065,0.029816384334082877
"g37097061101",76,178102.33128834356,179133.94991820812,38628.28509047381,18895.242386946946,0.13184689951398007,0.06412223669149617
"g37179020312",4,147126.98574338085,169713.50233728875,38420.66367217856,18489.834086142364,0.15874740062420936,0.06622938402815329
"g37179021014",22,185441.0569105691,220101.10255773528,38413.67260388324,14556.601997542422,0.1259256016328532,0.04020424283188959
"g37119005711",11,247013.09921962096,213622.03894332136,38386.207715071345,9102.921853819611,0.09446900084075115,0.02590412077292777
"g37071033204",69,111778.74794069193,116397.17791411043,38219.08880314642,18478.32329615359,0.20785246804212631,0.09650597618977828
"g37119005610",78,137571.99211045366,164697.1090670171,38067.16447406548,0.0,0.16821108035060844,0.0
"g37071033303",27,246889.62818003914,278176.98995783157,38016.26323149452,20217.465259313994,0.09360535144647614,0.04418141284487982
"g37071030602",5,116698.30747531734,137662.12035731078,37945.421928465206,10213.531450121045,0.1976646130644093,0.045101976434511165
"g37071032401",55,211305.30785562634,168146.43246187363,37843.24493040305,26495.049376315183,0.10887096187600094,0.09578801499920331
"g37119006213",67,265794.6278679351,215223.0994779375,37816.13174091501,12771.055738183471,0.08648982155165756,0.036072149030900426
"g37119005846",20,479094.99192245555,521332.74932614557,37738.020475387035,39680.793289073976,0.04788412792552712,0.046269993244985784
