"TID","RID","t_vehiclppE","r_vehiclppE","t_vehiclppM","r_vehiclppM","t_vehiclppCV","r_vehiclppCV"
"g37119003500",0,0.7367837338262477,0.7460188306404743,0.12855329676256916,0.05732250485920621,0.10606626772510766,0.046709957017142235
"g37119002800",0,0.7428722280887011,0.7460188306404743,0.0675469750770017,0.05732250485920621,0.0552746345544709,0.046709957017142235
"g37119002701",0,0.7635071090047393,0.7460188306404743,0.112323394114813,0.05732250485920621,0.08943164738707686,0.046709957017142235
"g37025042300",1,0.5878391379642102,0.5706320671147934,0.09454060083430342,0.0508893224083057,0.09776737572784161,0.05421314378516707
"g37025042401",1,0.7217294900221729,0.5706320671147934,0.1144460550179465,0.0508893224083057,0.0963963242205704,0.05421314378516707
"g37025041902",1,0.5235484674806877,0.5706320671147934,0.11364111670619528,0.0508893224083057,0.1319510036014003,0.05421314378516707
"g37025040703",1,0.5546965597216853,0.5706320671147934,0.1294190008295572,0.0508893224083057,0.14183279715580507,0.05421314378516707
"g37025042101",1,0.46381405176967777,0.5706320671147934,0.11791520420742968,0.0508893224083057,0.15454679505415345,0.05421314378516707
"g37071032900",2,0.664804469273743,0.6618018215735763,0.10692638401847537,0.06896538837166964,0.09777437480170158,0.06334864438809065
"g37071032800",2,0.6600140056022409,0.6618018215735763,0.08974892303135946,0.06896538837166964,0.08266281527579358,0.06334864438809065
"g37097060200",3,0.5273348519362187,0.6537205081669691,0.14259318040974261,0.05793331677962334,0.16437901672028468,0.05387290334409364
"g37097060603",3,0.6949061662198391,0.6537205081669691,0.13753326830593987,0.05793331677962334,0.12031386984060277,0.05387290334409364
"g37097060500",3,0.6603182256509161,0.6537205081669691,0.09253703869085907,0.05793331677962334,0.08519152853240726,0.05387290334409364
"g37097060100",3,0.6983229329173167,0.6537205081669691,0.1027178650758874,0.05793331677962334,0.08941775821379988,0.05387290334409364
"g37179020100",4,0.8276892430278885,0.7286663712893221,0.09400503163247062,0.06689670332198012,0.06904271907285725,0.05580975128243566
"g37179020701",4,0.6152822657289488,0.7286663712893221,0.09403910911407258,0.06689670332198012,0.09291122930799858,0.05580975128243566
"g37025042102",5,0.7065399664617105,0.7370535714285714,0.08956892624145164,0.0737206104773557,0.07706456516003472,0.06080285411228224
"g37025041503",5,0.7718014003819224,0.7370535714285714,0.12058904206167594,0.0737206104773557,0.09498092192091895,0.06080285411228224
"g37119001914",6,0.6494876431585292,0.6241886768202558,0.12955268641042492,0.0547806014855933,0.12125778419023825,0.053351300232622606
"g37119001919",6,0.49095080295692073,0.6241886768202558,0.112069439382783,0.0547806014855933,0.13876608076289512,0.053351300232622606
"g37119002100",6,0.6711878339498561,0.6241886768202558,0.09426485064296672,0.0547806014855933,0.08537678675730163,0.053351300232622606
"g37119001918",6,0.5899606894466284,0.6241886768202558,0.10093298766066527,0.0547806014855933,0.1040025893334476,0.053351300232622606
"g37119001802",6,0.7937984496124031,0.6241886768202558,0.15082005219890976,0.0547806014855933,0.11550025369051195,0.053351300232622606
"g37119006302",7,0.7672357189757059,0.7803258367274659,0.08014924602462832,0.05884043921046396,0.06350453283988848,0.04583888200823665
"g37119005509",7,0.7956555171088043,0.7803258367274659,0.08678577632053892,0.05884043921046396,0.06630672407684682,0.04583888200823665
"g37119001910",8,0.4470909800859039,0.5051059730250481,0.06206313269782162,0.032898608035346194,0.08438628785873357,0.03959397609397779
"g37119001605",8,0.43904593639575973,0.5051059730250481,0.10918726699559526,0.032898608035346194,0.15118062323975934,0.03959397609397779
"g37119001702",8,0.4434303426898571,0.5051059730250481,0.07864622525788816,0.032898608035346194,0.10781683361113263,0.03959397609397779
"g37119001606",8,0.5847232293932801,0.5051059730250481,0.1402201590438728,0.032898608035346194,0.14577874450481354,0.03959397609397779
"g37119001607",8,0.41495992876224397,0.5051059730250481,0.12616476948520464,0.032898608035346194,0.18482726447928408,0.03959397609397779
"g37119001920",8,0.5598816029143898,0.5051059730250481,0.09042025612673157,0.032898608035346194,0.09817561563652535,0.03959397609397779
"g37119001915",8,0.6101867572156197,0.5051059730250481,0.10004300018863886,0.032898608035346194,0.09966852405327402,0.03959397609397779
"g37119001912",8,0.5025839793281653,0.5051059730250481,0.09401310106634671,0.032898608035346194,0.11371397352005745,0.03959397609397779
"g37119001603",8,0.49022314239705544,0.5051059730250481,0.08649335727290147,0.032898608035346194,0.1072563572520579,0.03959397609397779
"g37071033304",9,0.8149027052681538,0.8160306228975757,0.09490247935778344,0.0616243112112927,0.070795539688702,0.045907085238380774
"g37071033305",9,0.8171091445427728,0.8160306228975757,0.0793185947408814,0.0616243112112927,0.059010465182006075,0.045907085238380774
"g37025040500",10,0.6823749574685267,0.7178567487032337,0.10007874715000287,0.07982271315299658,0.08915647254968545,0.0675962798613634
"g37025042200",10,0.7833804586867735,0.7178567487032337,0.12968101756700587,0.07982271315299658,0.10063238679918052,0.0675962798613634
"g37119004400",11,0.5919428200129955,0.6088409754260428,0.1149833723492842,0.04577940483557863,0.11808354495080284,0.04570885757563995
"g37119004000",11,0.555062630480167,0.6088409754260428,0.08626417226127145,0.04577940483557863,0.09447623280508162,0.04570885757563995
"g37119004304",11,0.6351466818570208,0.6088409754260428,0.10354773914514895,0.04577940483557863,0.09910616820603757,0.04570885757563995
"g37119004303",11,0.7086035451794207,0.6088409754260428,0.14408337009977537,0.04577940483557863,0.12360744654546213,0.04570885757563995
"g37119006010",11,0.603242932988951,0.6088409754260428,0.07969145319709803,0.04577940483557863,0.08030703676778754,0.04570885757563995
"g37159051001",12,0.781933943493832,0.8154392191659272,0.10402192908505055,0.07899420723408948,0.0808702778226044,0.05888948378065152
"g37159050903",12,0.8576441102756892,0.8154392191659272,0.12115769554126517,0.07899420723408948,0.08587722304801367,0.05888948378065152
"g37119001505",13,0.6824785057812037,0.6831835123876343,0.12148665107618001,0.07061413116828544,0.10821156548949246,0.06283307885539287
"g37119001509",13,0.6565560821484993,0.6831835123876343,0.1136588166406229,0.07061413116828544,0.10523625846326735,0.06283307885539287
"g37119001400",13,0.7167182662538699,0.6831835123876343,0.13275879097403206,0.07061413116828544,0.11260272830059638,0.06283307885539287
"g37119005828",14,0.748214758000529,0.748214758000529,0.08319794580793906,0.08319794580793906,0.06759591188092447,0.06759591188092447
"g37097061406",15,0.8269856014862982,0.7991861516599923,0.09538438090317783,0.05822636704692889,0.07011539980472063,0.04429001645757016
"g37119006204",15,0.8076390810960421,0.7991861516599923,0.07215880860837418,0.05822636704692889,0.054313291883322644,0.04429001645757016
"g37097061405",15,0.7534177215189873,0.7991861516599923,0.1490451534885405,0.05822636704692889,0.12025859485401652,0.04429001645757016
"g37179020314",16,0.680622009569378,0.680622009569378,0.07540831547075422,0.07540831547075422,0.06735151172648707,0.06735151172648707
"g37119005519",17,0.6117287987791585,0.6117287987791585,0.08596551945859593,0.08596551945859593,0.08542784735197904,0.08542784735197904
"g37119006009",18,0.7009992313604919,0.7845783132530121,0.12450371361820435,0.07600223695018087,0.10796894591350975,0.05888764317140964
"g37071031201",18,0.8102806898884004,0.7845783132530121,0.1356858815702202,0.07600223695018087,0.10179659914526773,0.05888764317140964
"g37119006005",18,0.836191171105436,0.7845783132530121,0.1315564096108351,0.07600223695018087,0.09564021248569067,0.05888764317140964
"g37119001510",19,0.7081669691470055,0.5751330386939659,0.1464547088756612,0.049783247869216556,0.12571924707069296,0.0526197775624167
"g37119001504",19,0.48345769393214133,0.5751330386939659,0.07899600300296175,0.049783247869216556,0.0993300694698,0.0526197775624167
"g37119001608",19,0.7205723542116631,0.5751330386939659,0.13412114341005915,0.049783247869216556,0.11314978919073297,0.0526197775624167
"g37119005616",19,0.5824064711830131,0.5751330386939659,0.16498667141259749,0.049783247869216556,0.17220936553007737,0.0526197775624167
"g37119001609",19,0.6480509745127436,0.5751330386939659,0.11680072880075,0.049783247869216556,0.10956465671089144,0.0526197775624167
"g37119001507",19,0.4583963691376702,0.5751330386939659,0.12910320724015645,0.049783247869216556,0.1712103282990629,0.0526197775624167
